1	0.5	0.5	-119.3
2	0.3	20	-43.7
3	0.7	40.2	-68
4	0	60.6	-175.3
5	20.6	0	-67.7
6	20.5	20.7	-39.9
7	20.6	40.3	-166.9
8	20.6	60.2	-236
9	40.7	0.2	-82.7
10	40.5	20.2	-110.1
11	40.4	40.7	-202.3
12	40	60	-302.3
13	60.8	0.5	-1.8
14	60.2	20.3	-129.4
15	60.5	40.4	-229.6
16	60.1	60.7	-344.4
17	80.4	0.3	-17.9
18	80.1	20.1	-61.5
19	80.1	40.3	-272.6
20	80.6	60.1	-376.5
21	100.4	0.1	42
22	100	20.2	-92.2
23	100.8	40.3	-307.3
24	100.6	60.4	-480.7
25	100.3	0.2	56.7
26	100.4	20.6	-145
27	100.3	40.6	-333.2
28	100.4	60	-438.9
